0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-28.115433,-31.089685,-37.251293,-43.988647,-44.354206,-39.83474,-41.808403,-50.65096,-45.66332,-44.81279,-47.770058,-48.348602,-55.480827,-49.200394,-54.414642,-52.110664,-51.784195,-55.52863,-62.598705,-57.755707,-60.78971,-62.088417,-60.746468,-76.44389,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.713282,-32.86803,-38.44832,-42.62265,-49.227924,-37.52365,-45.258118,-51.03659,-48.31134,-48.519417,-51.02989,-48.176216,-51.59658,-51.95717,-57.184044,-53.216183,-56.406136,-57.77169,-58.31682,-65.75787,-59.820908,-66.34683,-64.344284,-76.70912,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.798832,-32.036587,-33.0749,-43.068428,-42.78349,-41.21257,-41.70866,-49.05406,-44.589844,-47.199287,-47.902603,-51.80123,-55.130684,-50.03203,-52.558113,-52.90435,-56.57001,-61.032837,-55.878197,-62.085125,-62.400414,-61.161667,-63.772297,-74.89325,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-32.480556,-32.328285,-35.523415,-43.972443,-44.129707,-41.23375,-44.236076,-57.618675,-46.52849,-47.489746,-52.882713,-50.942192,-54.582664,-50.716118,-50.480293,-59.641136,-56.904892,-57.150696,-56.477844,-62.41021,-64.5352,-65.33445,-64.53708,-77.32154,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-32.742786,-33.115112,-39.22986,-44.2931,-44.883667,-42.377945,-46.05876,-50.524517,-46.57776,-46.32428,-52.096535,-53.73659,-52.213657,-52.516068,-55.787964,-60.451584,-59.691643,-59.57563,-59.169086,-60.46491,-67.684906,-67.70932,-69.59752,-79.835266,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-33.003544,-29.659412,-36.313328,-44.877083,-36.539627,-34.804794,-42.615387,-42.985367,-43.09937,-45.03576,-48.69043,-50.43084,-51.31093,-53.072113,-56.270416,-58.0058,-59.9605,-58.25769,-59.518673,-61.13504,-61.554707,-65.916176,-66.43293,-77.66656,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.971483,-29.68053,-37.741894,-42.07495,-44.487656,-41.505302,-43.47941,-44.706207,-45.653286,-47.86296,-51.00907,-50.82837,-52.667892,-54.20532,-50.744812,-56.574165,-57.418808,-60.789043,-65.10851,-64.57674,-63.470947,-64.418884,-65.32429,-76.49085,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.128141,-32.28138,-37.640167,-39.706085,-42.541855,-42.987865,-43.75736,-48.974907,-44.75409,-51.24691,-49.545204,-48.04973,-50.822304,-52.057533,-56.215492,-62.78148,-59.046494,-62.306313,-63.488678,-62.219193,-61.87257,-64.17325,-68.40647,-76.683685,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.450455,-31.479856,-38.3026,-40.04869,-42.96177,-41.533962,-44.840252,-45.897045,-47.540283,-50.72519,-52.825745,-47.19812,-54.806206,-54.53338,-55.73525,-59.518013,-60.161613,-61.967163,-61.956745,-63.952374,-63.25578,-67.77069,-70.887665,-75.86923,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.18675,-29.459621,-38.975624,-40.910667,-42.34343,-41.61169,-43.628445,-51.46826,-47.366844,-48.935814,-48.9248,-47.354553,-52.11988,-48.553864,-53.86207,-51.361443,-56.15023,-55.469826,-56.216545,-58.708824,-58.31411,-67.82108,-63.909267,-71.1972,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.393091,-32.311073,-40.659203,-43.354397,-44.117813,-41.50828,-42.32413,-53.64154,-46.283966,-47.190056,-51.31579,-53.345806,-54.80756,-51.499516,-53.95331,-54.22948,-63.389492,-61.450176,-59.510277,-62.94655,-57.626892,-62.257797,-64.30061,-78.57991,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.530264,-30.883749,-37.128143,-47.130955,-46.018127,-45.00029,-41.21309,-49.523743,-49.42603,-49.793034,-49.74489,-51.505283,-54.685944,-53.031174,-55.7701,-55.69707,-62.65311,-63.690502,-57.80275,-58.38789,-58.78298,-61.304634,-68.28735,-74.88872,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-23.223799,-26.641674,-36.530437,-41.4347,-42.420128,-38.0362,-46.03956,-44.51987,-42.29551,-49.53381,-50.922287,-49.41282,-48.07656,-51.188286,-54.044395,-53.87188,-58.11358,-54.1119,-59.512894,-57.282757,-63.13894,-60.58005,-60.37995,-77.35102,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.296663,-31.433086,-39.302917,-42.806797,-41.460815,-39.057808,-44.205917,-48.79771,-45.33332,-49.62864,-52.75378,-53.632133,-52.866722,-53.446064,-54.29092,-54.352104,-57.80236,-58.52661,-64.58116,-59.258583,-60.56751,-62.766636,-64.5473,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-25.330229,-35.121357,-43.423737,-40.696438,-44.54357,-40.244835,-46.338486,-50.525127,-46.111454,-49.136024,-52.94017,-51.04505,-51.77624,-57.087734,-55.548424,-60.59622,-65.48075,-62.958794,-69.37511,-67.62428,-69.50366,-66.393425,-68.75846,-69.15431,-79.17845,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.326792,-29.922348,-37.61341,-44.765038,-43.994293,-38.792305,-43.16857,-47.919716,-47.61558,-49.071484,-57.552376,-51.307755,-58.27826,-56.6206,-59.539986,-54.490177,-60.77578,-61.828625,-67.67783,-63.37035,-66.60313,-64.95157,-73.413864,-74.9236,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.432009,-33.756767,-43.919674,-39.674225,-40.765987,-37.730072,-48.556984,-48.976852,-43.043625,-47.764862,-53.968105,-52.999657,-61.167797,-54.820274,-61.086567,-60.305187,-57.512947,-57.677193,-65.644714,-66.97807,-65.381485,-66.18353,-69.36188,-74.74238,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.557013,-32.538044,-41.78632,-40.387707,-45.038864,-38.17211,-47.835564,-49.997406,-47.835007,-51.35289,-58.026176,-53.478455,-55.728127,-52.586708,-57.13221,-59.785378,-65.54557,-59.283897,-65.94215,-63.32325,-62.76879,-66.1307,-72.96681,-77.2417,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.561394,-34.44722,-38.602646,-47.376503,-43.53849,-37.896896,-44.66782,-50.7562,-47.588257,-46.94124,-51.43993,-53.811325,-54.296936,-51.7184,-57.82395,-53.827957,-61.791676,-67.36495,-62.67724,-66.22479,-66.358,-72.85553,-73.861755,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-39.706535,-37.5459,-44.88215,-47.01013,-45.72016,-42.309376,-47.961018,-52.798603,-49.318626,-50.54602,-59.312443,-54.12242,-53.218063,-54.661743,-60.942947,-60.720303,-63.58745,-67.332275,-70.40078,-67.019485,-69.81741,-75.80008,-76.896614,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-47.01063,-41.27854,-44.54566,-45.40888,-49.052666,-42.967422,-49.854416,-54.413685,-53.535286,-50.596367,-63.409958,-54.850826,-58.382122,-61.045628,-63.89341,-62.490097,-68.04349,-67.41585,-70.55083,-72.25237,-67.8014,-73.93854,-74.45857,-77.46629,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-38.607147,-36.114998,-40.580185,-45.459175,-47.541855,-43.91069,-47.327282,-53.028324,-54.445885,-51.045036,-54.379063,-54.278175,-54.371964,-57.124268,-59.494537,-61.871452,-60.847324,-62.92408,-63.46386,-70.85765,-71.16282,-69.545975,-72.82565,-79.93532,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.423626,-36.53048,-39.645485,-43.861015,-48.07279,-41.692703,-54.84776,-53.610962,-51.505325,-51.337875,-57.86993,-53.18136,-58.683994,-57.463184,-57.209366,-58.740013,-65.27572,-62.498955,-62.306377,-64.550125,-62.6942,-64.48466,-70.810425,-75.199326,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.698494,-38.556023,-40.656693,-45.53233,-49.06949,-43.64125,-50.25787,-52.765026,-51.01277,-51.046047,-61.61091,-53.590492,-57.246243,-56.62726,-58.590515,-59.58983,-62.755074,-63.011974,-66.55437,-63.90511,-71.21228,-69.102715,-66.69453,-78.43379,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.947462,-37.276142,-38.77649,-41.849304,-47.090225,-43.644245,-49.120247,-49.82736,-52.09298,-50.70558,-56.978943,-55.55535,-50.557068,-56.731453,-55.688713,-57.359726,-63.229473,-60.536896,-63.352726,-66.01537,-64.183304,-68.1011,-68.867935,-78.171036,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-34.606056,-34.66101,-43.401802,-44.998676,-42.835068,-37.691086,-42.974808,-46.940105,-45.894978,-52.24699,-58.548393,-50.998238,-58.914597,-56.058514,-56.659134,-60.179935,-63.132378,-68.55765,-62.72678,-67.832825,-64.23897,-67.78386,-67.55997,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-40.615124,-36.428047,-43.57775,-49.544464,-47.333893,-38.436157,-43.82868,-53.562466,-45.520195,-50.278717,-54.05797,-53.20713,-61.378544,-62.42142,-62.55945,-59.382187,-66.07187,-68.21518,-62.616493,-70.12128,-64.14694,-70.18278,-68.77977,-76.54718,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-43.984028,-41.0514,-47.75189,-45.547768,-46.57016,-43.06275,-46.10377,-56.484516,-48.612488,-53.185802,-62.432545,-57.574303,-65.109344,-59.455627,-63.014267,-63.864807,-66.91382,-69.86528,-64.55434,-69.0517,-67.10361,-68.10071,-70.047195,-76.22906,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-23.909622,-30.585667,-37.439217,-39.61223,-45.091187,-40.148277,-49.15752,-49.527504,-52.451294,-52.558594,-57.272415,-55.985756,-56.55442,-51.78134,-57.575016,-55.822,-61.597572,-68.64848,-58.985,-61.025177,-61.04878,-62.358017,-73.307236,-76.07309,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-25.830002,-32.327423,-39.023926,-43.09469,-43.525017,-43.357944,-43.375034,-47.322617,-48.683228,-49.799866,-56.486713,-51.457466,-54.40522,-52.95764,-52.3502,-59.935257,-58.167908,-63.186863,-63.798576,-62.992596,-61.23566,-63.378147,-63.86659,-76.10743,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
